ID,name,number,position,image
1,David de Gea,1,GK,images/gea.jpg
2,Jack Butland,31,GK,images/butland.jpg
3,Tom Heaton,22,GK,images/heaton.jpg
4,Lisandro Martinez,6,DF,images/martinez.jpg
5,Raphael Varane,19,DF,images/varane.jpg
6,Harry Maguire,5,DF,images/maguire.jpg
7,Victor Lindelof,2,DF,images/lindelof.jpg
8,Phil Jones,4,DF,images/jones.jpg
9,Teden Mengi,43,DF,images/mengi.jpg
10,Luke Shaw,23,DF,images/shaw.jpg
11,Brandon Williams,33,DF,images/williams.jpg
12,Diogo Dalot,20,DF,images/dalot.jpg
13,Aaron W.Bissaka,29,DF,images/w.bissaka.jpg
14,Casemiro,18,MF,images/casemiro.jpg
15,Mc Tominay,39,MF,images/tominay.jpg
16,Marcel Sabitzer,15,MF,images/sabitzer.jpg
17,Fred,17,MF,images/fred.jpg
18,Van de Beek,34,MF,images/beek.jpg
19,Bruno Fernandes,8,MF,images/fernandes.jpg
20,Marcus Rashford,10,ST,images/rashford.jpg
21,Jadon Sancho,25,ST,images/sancho.jpg
22,Anthony Elanga,36,ST,images/elanga.jpg
23,Garnacho,49,ST,images/garnacho.jpg
24,Antony,21,ST,images/antony.jpg
25,Anthony Martial,9,ST,images/martial.jpg
26,Wout Weghorst,27,ST,images/weghorst.jpg
27,Christian Eriksen,24,MF,images/eriksen.jpg
28,Mason Greenwood,11,ST,images/greenwood.jpg
29,Zidane Iqbal,55,MF,images/iqbal.jpg
30,Facundo Pellistri,28,MF,images/pellistri.jpg
31,Kobbie Mainoo,73,MF,images/mainoo.jpg
32,Tyrell Malacia,12,DF,images/malacia.jpg